Entity,Code,Year,Engaged in religious/spiritual activities
Africa,,2020,63.71511
Albania,ALB,2020,36.1776
Argentina,ARG,2020,48.529037
Asia,,2020,40.451416
Australia,AUS,2020,19.388412
Austria,AUT,2020,33.628178
Bahrain,BHR,2020,51.516064
Bangladesh,BGD,2020,46.563572
Belgium,BEL,2020,14.50429
Benin,BEN,2020,73.41682
Bolivia,BOL,2020,47.506245
Bosnia and Herzegovina,BIH,2020,38.396427
Brazil,BRA,2020,53.729458
Bulgaria,BGR,2020,6.6898265
Burkina Faso,BFA,2020,71.650955
Cameroon,CMR,2020,63.568485
Canada,CAN,2020,29.156185
Chile,CHL,2020,29.442854
China,CHN,2020,18.761171
Colombia,COL,2020,59.967686
Congo,COG,2020,72.28799
Costa Rica,CRI,2020,55.38973
Cote d'Ivoire,CIV,2020,60.910683
Croatia,HRV,2020,27.312744
Cyprus,CYP,2020,44.293118
Czechia,CZE,2020,15.820781
Denmark,DNK,2020,16.050905
Dominican Republic,DOM,2020,69.43944
Ecuador,ECU,2020,60.168716
Egypt,EGY,2020,50.724014
El Salvador,SLV,2020,73.4358
Estonia,EST,2020,13.352501
Ethiopia,ETH,2020,66.57121
Europe,,2020,23.166454
Finland,FIN,2020,11.135731
France,FRA,2020,17.190386
Gabon,GAB,2020,70.82588
Georgia,GEO,2020,44.799385
Germany,DEU,2020,12.392033
Ghana,GHA,2020,57.636757
Greece,GRC,2020,27.453985
Guinea,GIN,2020,55.93042
High-income countries,,2020,33.53107
Hong Kong,HKG,2020,34.004066
Hungary,HUN,2020,26.657217
India,IND,2020,46.679382
Indonesia,IDN,2020,72.98657
Iran,IRN,2020,56.264618
Iraq,IRQ,2020,30.957253
Ireland,IRL,2020,59.227043
Italy,ITA,2020,37.18426
Jordan,JOR,2020,31.091248
Kazakhstan,KAZ,2020,36.446976
Kenya,KEN,2020,78.93723
Kosovo,OWID_KOS,2020,39.37083
Kyrgyzstan,KGZ,2020,38.57376
Laos,LAO,2020,54.213783
Latvia,LVA,2020,16.857319
Lebanon,LBN,2020,21.962563
Low-income countries,,2020,67.49856
Lower-middle-income countries,,2020,50.486645
Malaysia,MYS,2020,68.6238
Mali,MLI,2020,77.97627
Malta,MLT,2020,27.663393
Mauritius,MUS,2020,56.81488
Mexico,MEX,2020,47.55565
Moldova,MDA,2020,47.82065
Mongolia,MNG,2020,24.021748
Morocco,MAR,2020,28.363049
Myanmar,MMR,2020,58.548492
Nepal,NPL,2020,36.396072
Netherlands,NLD,2020,12.731266
New Zealand,NZL,2020,23.603004
Nicaragua,NIC,2020,69.00884
Nigeria,NGA,2020,79.61398
North America,,2020,53.024467
North Macedonia,MKD,2020,36.47355
Norway,NOR,2020,14.538441
Oceania,,2020,19.84918
Paraguay,PRY,2020,59.636852
Peru,PER,2020,56.20702
Philippines,PHL,2020,49.365623
Poland,POL,2020,27.881594
Portugal,PRT,2020,32.367702
Romania,ROU,2020,44.47758
Russia,RUS,2020,17.541325
Senegal,SEN,2020,66.859535
Slovakia,SVK,2020,26.909904
South Africa,ZAF,2020,62.38304
South America,,2020,53.01228
South Korea,KOR,2020,18.567822
Spain,ESP,2020,18.188236
Sri Lanka,LKA,2020,79.540665
Sweden,SWE,2020,9.442642
Switzerland,CHE,2020,20.070494
Tanzania,TZA,2020,58.527775
Thailand,THA,2020,48.769737
Tunisia,TUN,2020,28.068096
Turkey,TUR,2020,28.25184
Uganda,UGA,2020,64.03269
Ukraine,UKR,2020,27.202133
United Arab Emirates,ARE,2020,49.15984
United Kingdom,GBR,2020,40.922478
United States,USA,2020,56.357536
Upper-middle-income countries,,2020,36.342205
Uruguay,URY,2020,31.846924
Uzbekistan,UZB,2020,17.447626
Venezuela,VEN,2020,54.641083
Vietnam,VNM,2020,26.911486
World,OWID_WRL,2020,43.077442
Zambia,ZMB,2020,77.35696
Zimbabwe,ZWE,2020,63.313522
